"Timestamp","Central_Latitude_Decimal","Central_Longitude_Decimal","Path Width (km)"
2024-04-08 12:45:48,-3.86514315912896,-141.595894731803,166
2024-04-08 12:45:49,-3.85746639786014,-141.574243472321,166
2024-04-08 12:45:50,-3.84979451390626,-141.552627513138,166
2024-04-08 12:45:51,-3.84212745911569,-141.531046508323,166
2024-04-08 12:45:52,-3.83446518533682,-141.509500111948,166
2024-04-08 12:45:53,-3.82680764441804,-141.487987978085,166
2024-04-08 12:45:54,-3.81915478820773,-141.466509760803,166
2024-04-08 12:45:55,-3.81150656855427,-141.445065114176,166
2024-04-08 12:45:56,-3.80386293730606,-141.423653692273,166
2024-04-08 12:45:57,-3.79622384631147,-141.402275149166,166
2024-04-08 12:45:58,-3.7885892474189,-141.380929138927,166
2024-04-08 12:45:59,-3.78095909247673,-141.359615315625,166
2024-04-08 12:46:00,-3.77333333333333,-141.338333333333,171
2024-04-08 12:46:01,-3.76571192900949,-141.31708289327,171
2024-04-08 12:46:02,-3.75809486721552,-141.295863885242,171
2024-04-08 12:46:03,-3.75048214283409,-141.274676246208,171
2024-04-08 12:46:04,-3.74287375074792,-141.253519913122,171
2024-04-08 12:46:05,-3.73526968583969,-141.232394822941,171
2024-04-08 12:46:06,-3.72766994299209,-141.211300912621,171
2024-04-08 12:46:07,-3.72007451708782,-141.190238119118,171
2024-04-08 12:46:08,-3.71248340300958,-141.169206379388,171
2024-04-08 12:46:09,-3.70489659564005,-141.148205630386,171
2024-04-08 12:46:10,-3.69731408986193,-141.12723580907,171
2024-04-08 12:46:11,-3.68973588055792,-141.106296852394,171
2024-04-08 12:46:12,-3.6821619626107,-141.085388697316,171
2024-04-08 12:46:13,-3.67459233090298,-141.06451128079,171
2024-04-08 12:46:14,-3.66702698031743,-141.043664539774,171
2024-04-08 12:46:15,-3.65946590573677,-141.022848411222,171
2024-04-08 12:46:16,-3.65190910204367,-141.002062832092,171
2024-04-08 12:46:17,-3.64435656412084,-140.981307739339,171
